S/N,MTANDAO,GENDER,MARITAL_STATUS,DEPENDENTS,AGE,UNIVERSITY,DEGREE,EARNINGS,REGISTRATION,LOAN_BOARD,PAST_FREQUENCY,FUTURE_FREQUENCY,PROBLEM_SOLVING,EXCEPTIONAL_SERVICE_EXPERIENCE,VALUE_FOR_MONEY,PRICE_COMPARISON,WIDE_COVERAGE,CALL_DROPS,STRONG_SIGNALS,FREE_COMPLAINTS,SHARE_NEGATIVE_EXPERIENCE,HIGH_SWITCHING_COST,REDUCE_TRANSACTIONS,USUALLY_SWITCH_PROVIDERS,GET_THROUGH,DO_WHAT_THEY_SAY,TIMELY_EFFECTIVE_COMPLAINTS,HIGH_SWITCHING_ENERGY_TIME,FUTURE_TRANSACTIONS,LOYAL,FIRST_CHOICE
141,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.5,5,3,F,A,A,F,SA,SA,SD,A,SA,D,A,D,D,SA,A,SA,F,A,A
142,TIGO,MALE,MARRIED,3 TO 4,18-35,SUA,BACHELOR,450000-1000000,2017,0,28,24,,,,,,,,,,,,,,,,,,,
143,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,16,,,,,,,,,,,,,,,,,,,,
144,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,DIPLOMA,BELOW 450000,2019,0,,,SD,D,D,SD,D,SD,SD,D,D,D,SD,SD,D,D,SD,SD,SD,D,D
145,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2010,1,1,1,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD
146,HALOTEL,MALE,MARRIED,3 TO 4,18-35,SUA,BACHELOR,450000-1000000,2016,1,1,1,A,SD,SD,SD,D,A,F,D,SA,A,A,SA,SD,SD,F,SA,D,D,D
147,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2017,1,1,1,D,D,D,SD,F,D,D,F,A,A,D,F,F,A,SA,A,D,D,SD
148,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJMC,DIPLOMA,BELOW 450000,2023,0,1,1,SD,SD,SD,SD,D,SD,SD,SD,D,SD,SD,SD,SD,SD,SD,D,SD,SD,SD
149,TIGO,MALE,SINGLE,0 TO 2,18-35,SJMC,DIPLOMA,BELOW 450000,2012,0,2,2,A,SA,F,D,A,A,A,A,F,A,F,F,A,F,A,F,A,A,A
150,TIGO,FEMALE,SINGLE,0 TO 2,18-35,UDSM,BACHELOR,BELOW 450000,2022,0,1,1,SD,SD,D,SD,A,D,SD,D,F,A,A,D,F,D,D,SA,F,F,D
151,HALOTEL,MALE,SINGLE,0 TO 2,18-35,UDSM,BACHELOR,BELOW 450000,2019,1,1,1,D,D,SD,D,SD,D,SD,SD,D,D,D,D,D,SD,F,D,D,D,D
152,TIGO,MALE,SINGLE,0 TO 2,18-35,UDSM,BACHELOR,BELOW 450000,2019,1,9,6,A,D,A,SA,SA,SD,SA,SA,A,A,A,SA,SA,A,SA,SA,SA,SA,SA
153,VODA,MALE,MARRIED,MORE THAN 4,36-50,UDSM,MASTERS,ABOVE 1000000,2012,0,30,30,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
154,TIGO,MALE,MARRIED,MORE THAN 4,36-50,UDSM,MASTERS,ABOVE 1000000,2022,0,1,1,F,F,SA,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
155,VODA,MALE,SINGLE,0 TO 2,18-35,UDSM,BACHELOR,BELOW 450000,2021,0,8,8,SD,SD,F,F,F,F,F,F,F,F,F,SD,SD,F,F,F,F,F,F
156,VODA,MALE,SINGLE,0 TO 2,18-35,UDSM,BACHELOR,BELOW 450000,2022,0,4,4,SA,SA,D,F,A,A,D,SD,SA,SD,SD,SD,D,D,D,SA,F,SA,SA
157,AIRTEL,MALE,SINGLE,0 TO 2,18-35,UDSM,BACHELOR,BELOW 450000,2020,0,1,1,D,A,D,A,D,A,F,F,F,F,A,F,A,F,A,A,F,F,A
158,TIGO,MALE,SINGLE,0 TO 2,18-35,UDSM,BACHELOR,BELOW 450000,2016,0,1,1,SD,SD,SD,F,SD,D,SD,A,SD,D,F,F,SA,D,SA,SA,F,D,SD
159,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,UDSM,BACHELOR,BELOW 450000,2022,0,30,30,SA,SA,SA,SA,SA,SA,SA,SA,SA,SD,SD,SA,SD,SD,SD,SD,SA,SA,SA
160,TIGO,FEMALE,SINGLE,3 TO 4,18-35,UDSM,BACHELOR,BELOW 450000,2017,1,1,2,SD,SD,SD,SD,SD,D,SD,D,SD,D,SD,D,D,D,D,D,SD,D,D
161,TIGO,MALE,SINGLE,0 TO 2,18-35,IAA_DAR,DIPLOMA,BELOW 450000,2022,0,12,15,F,F,SA,SA,SA,D,A,SA,SA,SA,SD,F,F,A,SA,SA,F,SA,SA
162,AIRTEL,MALE,SINGLE,0 TO 2,18-35,IAA_DAR,DIPLOMA,BELOW 450000,2020,0,9,9,F,F,A,F,SA,D,D,SA,A,A,D,D,A,F,SA,SA,SA,SA,SA
163,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,IAA_DAR,DIPLOMA,BELOW 450000,2021,0,1,3,F,F,SA,SA,A,SD,A,A,F,A,D,SD,SA,A,SA,A,A,A,SA
164,VODA,FEMALE,SINGLE,0 TO 2,18-35,IAA_DAR,DIPLOMA,BELOW 450000,2021,0,2,1,D,D,SD,F,SA,A,SA,F,A,F,D,SD,A,D,D,SA,A,A,A
165,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2021,,5,1,A,D,SD,A,D,A,F,SA,D,SD,A,SA,A,SA,F,SA,D,A,SD
166,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2022,1,10,7,A,SA,SA,D,D,F,F,F,D,D,F,F,D,A,F,A,A,A,F
167,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,,0.57,1,1,D,D,D,D,D,D,D,D,D,D,D,D,D,SD,SD,SD,SD,SD,SD
168,HALOTEL,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,,0.8,1,1,D,D,D,SD,SD,SD,D,SD,SD,SD,SD,D,SD,SD,SD,SD,SD,SD,D
169,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,1,28,29,D,D,SD,D,SD,SD,D,SD,SD,SD,D,SD,D,D,D,D,D,D,D
170,TIGO,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2014,1,,,D,D,D,D,F,F,A,A,A,F,A,F,A,A,D,A,F,F,F
171,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.75,15,11,A,A,A,A,A,A,A,A,F,A,D,D,A,A,A,A,A,A,A
172,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2010,1,4,4,SD,F,SD,F,F,D,D,D,D,D,D,F,F,F,A,A,F,A,A
173,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2022,1,6,10,D,D,A,A,SD,SA,D,A,D,A,A,A,A,D,D,A,A,A,A
174,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,14,11,SD,D,SD,F,F,F,D,A,F,A,A,SA,F,A,A,SA,A,F,A
175,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,20,18,D,A,D,D,A,A,A,A,D,F,D,A,F,A,D,A,F,F,F
176,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,11,9,F,F,D,A,A,D,A,D,D,D,A,A,A,A,D,D,A,A,A
177,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,,10,8,A,F,D,A,A,A,A,F,SD,D,F,D,SD,A,F,A,A,SD,F
178,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,20,12,A,F,A,SA,SD,,D,F,D,D,A,SA,D,A,SD,F,F,A,A
179,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,17,15,D,D,D,A,SA,A,D,A,SA,A,D,A,D,A,A,A,SA,A,A
180,TIGO,FEMALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,14,9,SD,A,F,A,A,A,A,F,D,A,D,A,A,A,A,A,A,A,F
181,VODA,MALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2015,0,4,3,SA,A,F,A,D,F,SD,A,D,SD,F,SA,,A,SA,A,SD,SA,F
182,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,14,9,D,D,D,A,A,D,D,A,A,A,D,D,A,D,A,A,A,A,A
183,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2010,,12,12,SD,SD,F,F,F,A,F,A,A,F,SD,F,F,A,A,A,SD,A,F
184,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,10,10,SD,SA,SA,A,A,A,A,SA,SA,D,SA,SD,F,SA,A,D,SD,SA,SA
185,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,0.5,18,8,SD,SA,F,A,A,D,A,D,A,A,F,SA,,D,A,D,F,A,F
186,AIRTEL,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,450000-1000000,2019,0.5,12,5,F,F,F,F,SD,SD,F,F,F,SD,D,F,A,SD,D,F,A,SA,SD
187,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2019,1,10,7,A,F,D,A,A,SD,SA,A,D,F,A,F,A,F,F,F,F,A,F
188,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,,2022,1,24,12,A,A,SD,SD,D,SD,SD,D,A,D,SA,A,SD,F,SD,SA,SD,F,A
189,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2023,1,33,17,F,F,SD,F,A,D,D,SA,SA,F,A,SA,A,A,D,SA,D,A,F
190,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0,40,22,A,F,D,F,D,A,D,F,A,A,D,D,D,A,F,D,SA,SA,A
191,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.5,32,27,SD,D,D,A,A,A,A,A,D,A,D,A,A,A,A,D,D,D,A
192,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,,10,9,SD,SD,F,F,SD,F,SD,A,F,,F,F,A,A,A,SA,SA,SA,SD
193,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,1,62,53,F,D,D,SD,F,SD,D,D,SD,F,A,A,A,F,F,A,SD,A,A
194,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,,14,17,D,F,A,A,F,F,D,F,F,F,D,A,F,A,F,F,A,F,A
195,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,11,10,SD,D,D,F,A,D,SD,D,,,,SD,SD,A,A,A,F,A,F
196,AIRTEL,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2021,1,21,19,D,SD,SD,D,D,D,F,A,SD,D,D,F,F,A,D,F,A,A,A
197,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,,19,19,A,SD,A,A,A,A,D,A,A,F,A,SD,A,A,F,A,A,A,A
198,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,31,24,D,A,D,D,D,D,D,A,A,F,D,D,A,A,A,A,F,A,A
199,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,13,50,SA,F,SD,F,A,A,F,F,F,F,A,,A,F,F,F,F,F,F
200,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,42,79,A,F,SA,A,SA,D,SA,SA,SA,A,,,A,A,SA,SA,A,A,SA
201,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2021,0,12,9,SD,D,A,SA,SD,D,SA,F,A,A,A,SA,A,A,SA,SD,SD,,
202,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2019,0,16,6,SD,SD,SD,SD,D,D,A,SD,A,F,SA,SA,D,A,A,D,SD,D,
203,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2018,1,52,61,A,SA,SA,A,SA,D,SA,SD,A,F,A,A,SD,A,F,A,A,A,SA
204,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2021,0,22,15,SA,D,D,A,D,SA,D,SA,SA,SA,SA,D,A,A,D,A,A,SA,A
205,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2018,1,20,13,SA,D,D,SA,A,SA,D,SA,SA,SA,SA,D,A,A,D,A,D,A,A
206,VODA,MALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2019,1,20,21,SD,SD,D,SD,SD,SD,SA,SD,A,F,A,F,D,SA,D,D,A,SA,
207,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2018,0,17,20,F,D,F,SD,F,F,SD,D,F,F,F,D,D,D,D,A,F,F,D
208,VODA,MALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2017,,18,20,A,A,A,A,F,A,F,A,D,F,A,A,F,D,A,A,A,A,A
209,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2018,1,17,15,D,D,D,A,SA,F,SA,A,F,F,F,SA,D,A,F,SA,F,SA,SA
210,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2018,0.65,23,14,A,A,SA,SA,A,SA,SA,SA,SD,D,SD,SA,SA,SA,A,SA,SA,SA,SA
211,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2020,0,13,12,D,D,F,F,A,A,A,F,F,F,F,F,F,D,F,F,F,SA,A
212,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2019,0.6,7,5,SD,SD,SD,D,D,SD,D,D,SD,SD,D,D,SD,SD,D,SD,D,SD,SD
213,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2018,0,12,12,SD,SD,A,SD,SD,SD,SD,SD,A,SD,SD,A,SD,SD,SD,SD,SD,SD,SD
214,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2018,0,50,7,SD,D,F,SD,F,SD,SD,F,A,SD,SA,A,A,SD,D,D,SA,SA,A
215,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,450000-1000000,2022,0,10,3,F,F,F,SA,A,SA,D,F,SA,A,F,D,A,F,A,SD,A,SA,A
216,HALOTEL,MALE,SINGLE,3 TO 4,18-35,SJMC,BACHELOR,BELOW 450000,2018,1,118,88,F,SA,SD,SD,SD,SA,SD,SD,SA,F,SA,A,D,A,F,SA,D,A,D
217,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SJMC,DIPLOMA,BELOW 450000,2022,0,12,8,SD,D,A,A,A,SA,A,A,A,SA,A,SA,A,A,SA,A,A,A,A
218,VODA,MALE,SINGLE,0 TO 2,18-35,UDSM,CERTIFICATE,ABOVE 1000000,2022,0,1,1,F,D,SD,D,D,F,SD,SD,A,D,A,A,F,F,SD,A,SD,F,SD
219,VODA,MALE,SINGLE,0 TO 2,18-35,UDSM,BACHELOR,BELOW 450000,2019,0.38,1,1,F,F,D,SA,A,SA,SA,SA,A,F,D,SD,SD,F,F,F,SA,A,SA
220,VODA,MALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,450000-1000000,2012,0.39,1,1,SA,SA,SA,SA,SA,SA,SA,SA,F,F,D,SD,SA,SA,SA,SA,SA,SA,SA
221,VODA,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,0.5,3,3,F,F,F,SD,F,F,D,D,F,D,F,F,F,D,D,F,F,F,F
222,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2020,0.5,27,27,A,SA,F,D,A,A,A,A,F,F,F,F,F,A,F,A,F,F,F
223,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,1,14,12,A,F,SA,SA,F,SA,F,A,D,D,F,SA,F,F,A,SA,F,F,SA
224,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2017,1,9,3,SD,SD,A,A,A,A,A,A,SA,A,SA,A,A,A,A,SA,A,A,A
225,VODA,MALE,MARRIED,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2009,1,12,12,F,F,F,F,A,A,D,F,A,F,A,SA,A,A,A,SA,F,F,D
226,VODA,FEMALE,MARRIED,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2009,0,4,4,D,D,SD,D,SD,SD,D,SD,SD,D,SD,SD,SD,SD,SD,SD,SD,D,SD
227,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,27,27,A,F,D,D,SA,SD,F,SA,F,A,D,D,A,SA,A,SA,A,D,SA
228,TIGO,FEMALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2018,0.5,18,15,A,A,F,A,F,F,D,D,A,A,D,F,F,D,F,F,A,A,A
229,VODA,MALE,SINGLE,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2021,0.98,10,9,SA,A,A,SD,SD,SD,SD,D,SA,D,SD,SD,F,F,D,F,SA,SA,SA
230,HALOTEL,FEMALE,MARRIED,0 TO 2,18-35,MUM,BACHELOR,BELOW 450000,2020,0.7,6,6,A,F,F,A,F,D,F,D,F,F,A,A,D,D,D,A,F,F,F
231,VODA,FEMALE,SINGLE,0 TO 2,18-35,SJMC,BACHELOR,BELOW 450000,2023,0,1,1,A,A,D,SD,D,D,D,D,F,F,A,SD,SD,SD,SD,F,F,F,F
232,HALOTEL,MALE,SINGLE,MORE THAN 4,18-35,MUM,BACHELOR,BELOW 450000,2008,0.3,1,1,A,D,D,SD,D,A,SA,SA,A,F,SA,F,D,SD,SD,F,SD,D,F
233,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2013,0,21,19,D,SD,F,F,A,A,SD,A,A,F,D,SD,D,SA,A,SA,F,A,A
234,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,3,3,D,A,SD,F,A,F,F,A,F,SA,F,F,F,F,SD,SD,SD,A,A
235,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,12,12,SD,SD,SD,SD,A,SD,SD,SD,A,A,SA,SA,A,A,A,A,A,A,A
236,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,16,15,D,A,SD,A,SD,SA,SD,A,A,A,D,A,F,A,A,D,SA,SA,SA
237,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0,11,6,A,A,SD,SD,SD,A,SD,F,SA,D,F,D,F,A,A,A,F,F,F
238,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,0,15,96,SD,SD,SD,SD,A,SD,SD,SD,A,A,SA,SA,A,A,A,A,A,A,A
239,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,61,51,A,F,SA,A,SD,SA,F,SA,F,F,F,SD,D,F,F,F,A,A,A
240,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,,,35,80,A,F,SD,SA,SA,F,F,D,F,A,F,D,F,A,F,F,SA,SA,A
241,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,,,20,12,F,F,D,A,A,F,A,A,A,A,A,A,A,F,D,D,F,F,A
242,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,,24,24,D,F,D,F,D,F,A,A,A,A,A,A,F,F,F,F,A,F,D
243,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,,7,9,SD,SD,F,F,F,SA,D,A,F,D,F,SD,SA,F,A,SA,F,F,D
244,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0,18,18,F,SD,D,D,F,SD,D,F,A,SA,SD,F,F,A,SA,A,A,D,D
245,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,9,9,F,SD,D,D,A,F,F,D,D,F,F,A,A,A,F,F,D,SD,D
246,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.7,21,21,A,A,F,D,A,F,F,A,F,A,D,SA,F,A,A,A,A,F,A
247,TTCL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,4,3,D,A,D,D,A,D,SA,SA,SA,F,D,,A,A,SA,SA,SA,SA,SA
248,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,1,6,11,F,F,F,F,F,F,F,D,SD,SD,SD,A,SD,A,D,A,A,SA,F
249,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0,24,24,F,F,F,F,A,A,D,A,A,A,D,D,A,A,A,A,A,A,A
250,HALOTEL,MALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2019,0.6,3,3,F,D,F,D,SA,F,F,F,F,F,D,D,F,F,A,A,F,D,D
251,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,9,8,F,F,A,D,SD,F,D,F,F,A,D,A,D,F,A,F,F,F,F
252,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,,47,24,F,D,F,A,A,D,A,F,F,F,A,A,A,A,A,A,F,SA,A
253,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,10,7,F,F,F,F,F,SA,SD,SD,D,SA,SA,A,F,SD,F,D,D,D,D
254,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,,11,12,SD,SD,SD,A,F,SA,SD,SD,SA,D,F,D,SD,D,SA,F,F,F,F
255,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,15,3,SD,D,SD,SD,SD,D,D,A,A,SA,A,D,D,A,F,A,D,A,A
256,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,17,11,A,F,A,F,F,A,F,F,D,SD,F,A,D,A,F,F,SA,,SD
257,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0,30,13,SD,A,SA,SA,SA,SD,SA,A,SD,D,D,F,A,A,A,A,SA,SA,SA
258,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2009,0.5,15,15,D,SD,SD,SD,D,SA,D,SD,SD,F,A,A,D,F,D,SA,F,SA,A
259,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2010,1,12,15,D,D,D,SD,A,F,D,SD,D,A,A,A,A,F,SD,A,A,A,F
260,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,,0.5,19,12,A,D,SD,SD,F,F,D,A,D,F,D,A,F,D,SD,A,SD,F,D
261,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,,15,3,D,A,SD,D,F,SA,F,SD,D,,,D,F,SD,D,A,D,SA,A
262,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,,17,10,SD,SD,SA,SD,SA,SD,F,SA,SD,F,SD,SD,D,A,F,SA,F,SA,F
263,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.5,11,15,SD,D,A,F,SA,D,A,A,F,A,F,A,A,A,F,A,F,F,A
264,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2023,,13,16,D,D,F,F,SD,SA,SD,F,A,D,A,A,A,F,D,SA,A,SD,SA
265,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.5,20,25,A,D,SD,SD,A,F,F,SA,A,D,A,A,D,F,D,SA,F,F,F
266,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,26,29,F,A,F,F,F,F,SD,D,SD,F,F,A,F,D,F,F,D,F,F
267,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,0,16,9,SA,F,,F,SA,F,A,D,F,F,F,A,F,F,A,SA,F,A,F
268,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,0.5,26,26,D,D,D,,A,D,A,A,D,F,A,SA,F,A,F,A,A,A,A
269,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,122,103,SA,SA,F,SA,SA,F,A,A,F,A,F,F,F,F,F,F,F,F,F
270,VODA,MALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2014,0,26,26,SA,A,SA,F,F,A,F,SA,SA,A,A,F,F,A,SA,F,A,SA,A
271,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2023,0.5,12,18,F,D,A,,SA,D,D,A,A,D,D,D,D,D,A,A,A,F,A
272,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,36,27,A,A,SD,D,F,D,D,A,D,A,A,D,A,A,F,F,F,A,A
273,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,,24,24,SD,D,D,F,A,A,A,A,A,A,F,A,D,A,A,A,A,A,A
274,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,10,15,SD,A,SA,SD,D,D,D,F,A,D,A,SD,SA,SA,SA,SA,SA,SA,F
275,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,,,105,113,F,F,F,D,F,F,D,F,A,A,A,A,A,D,A,A,A,A,D
